"Accident_Number","Event_Date","Location","Country","Latitude","Longitude","Airport_Code","Airport_Name","Injury_Severity","Aircraft_Damage","Registration_Number","Make","Model","Schedule","Air_Carrier","Total_Fatal_Injuries","Total_Serious_Injuries","Total_Uninjured","Weather_Condition","Broad_Phase_of_Flight"
"DCA03WA031","3/12/03","Johannesburg","","","","","","Unavailable","Substantial","","Boeing","747","SCHD","","0","0","","",""
"DCA13WA104","6/9/13","London, United Kingdom","United Kingdom","","","EGLL","London, Heathrow","Incident","","","Boeing","747","","","0","0","312","",""
"DCA13WA080","4/22/13","Melbourne, Australia","Australia","","","","","Incident","Minor","N119UA","Boeing","747","","","0","0","146","",""
"DCA12WA140A","8/20/12","Jeddah, Saudi Arabia","Saudi Arabia","","","OEJN","King Abdulaziz International","Incident","Minor","","Boeing","747","","","0","0","","",""
"DCA12WA127","8/17/12","London, United Kingdom","United Kingdom","","","","","Incident","","","Boeing","747","","","0","0","362","",""
"DCA12WA108","7/5/12","Tokyo, Japan","Japan","","","","","Non-Fatal","","","Boeing","747","","","0","1","193","",""
"DCA08RA084","7/25/08","Manila, Philippines","Philippines","","","","","Non-Fatal","Substantial","","Boeing","747","SCHD","","0","0","365","",""
"ENG08WA019","3/25/08","Dhaka, Bangladesh","Bangladesh","","","","","Incident","Minor","","Boeing","747","SCHD","","0","0","","",""
"DCA08WA025","1/7/08","Bangkok, Thailand","Thailand","","","","","Incident","Minor","","Boeing","747","SCHD","","0","0","334","",""
"NYC07LA017","10/31/06","Newark, NJ","United States","40.6925","-74.168611","KEWR","Newark Liberty Intl","Non-Fatal","Substantial","D-ABVY","Boeing","747","SCHD","","0","0","312","VMC","TAXI"
"DEN06IA068","4/23/06","Denver, CO","United States","39.861667","-104.673056","DEN","Denver International","Incident","Minor","DABVN","Boeing","747","SCHD","","0","0","401","VMC","TAXI"
"DCA05WA040","2/20/05","Manchester, United Kingdom","United Kingdom","","","","","Incident","","","Boeing","747","SCHD","","0","0","370","",""
"DCA04WA078","8/31/04","Hanamaki, Japan","Japan","","","","","Non-Fatal","","","Boeing","747","SCHD","","0","1","558","",""
"DCA03WA030","3/12/03","Auckland, New Zealand","New Zealand","","","","","Unavailable","Substantial","","Boeing","747","SCHD","","0","0","","",""
"IAD02LA039","4/1/02","Atlantic Ocean","","42.5725","-70.718611","","","Non-Fatal","","G-BNLS","Boeing","747","SCHD","","0","1","213","VMC","CLIMB"
"DCA01RA002","10/31/00","Taipei, Taiwan","Taiwan","","","","","Fatal(83)","Destroyed","","Boeing","747","SCHD","","83","39","25","IMC",""
"ENG07RA021","4/3/07","Chengdu, China","China","","","","","Incident","","","Boeing","747","SCHD","","0","0","","",""
"ENG07RA001","10/9/06","Seoul, Korea, Republic Of","Korea, Republic Of","","","","","Incident","","","Boeing","747","SCHD","","0","0","","",""
"LAX02WA272","8/30/02","AUCKLAND, New Zealand","New Zealand","","","","","Incident","","","Boeing","747","SCHD","","0","0","","",""
"DCA10WA056","5/7/10","Sydney, Australia","Australia","","","SYD","Sydney, Australia","Incident","Minor","N128UA","Boeing","747","SCHD","","0","0","246","VMC",""
"LAX07LA204","6/27/07","Oceanic, UN","United States","11","-157","","","Non-Fatal","","N120UA","Boeing","747","SCHD","","0","1","282","VMC","CRUISE"
"LAX02LA146","5/1/02","Pacific Ocean, PO","United States","-24.3","174.333333","","","Non-Fatal","","N182UA","Boeing","747","SCHD","","0","1","283","VMC","CLIMB"
"ENG09WA005","5/11/09","Johannesburg, South Africa","South Africa","","","FAJS","Tambo International Airport","Incident","","","Boeing","747","SCHD","","0","0","","",""
"MIA07IA031","12/26/06","Miami, FL","United States","25.793333","-80.290555","KMIA","Miami International","Incident","","G-BNLM","Boeing","747","SCHD","","0","0","368","VMC","TAXI"
"DCA10RA092","9/3/10","Dubai, United Arab Emirates","United Arab Emirates","","","","","Fatal(2)","Destroyed","N571UP","Boeing","747","NSCH","","2","0","","",""
"DCA12WA144","9/9/12","Melbourne, Australia","Australia","","","","","Incident","","N409MC","Boeing","747","NSCH","","0","0","","",""
"ENG10WA036","6/11/10","Tokyo, Japan, Japan","Japan","","","NRT","Narita/New Tokyo International","Incident","","","Boeing","747","SCHD","","0","0","","",""
"DCA07WA015","12/7/06","London, United Kingdom","United Kingdom","","","","","Incident","","","Boeing","747","SCHD","","0","0","","",""
"DCA12RA148","9/11/12","Shanghai, China","China","","","","","Incident","Minor","","Boeing","747","SCHD","","0","0","2","",""
"ANC05IA016","12/5/04","Anchorage, AK","United States","61.174445","-149.996389","","","Incident","Minor","JA8158","Boeing","747","NSCH","","0","0","3","VMC","CRUISE"
"ENG13WA023","1/30/11","Keflavik, Iceland","Iceland","","","BIKF","Keflavik Airport","Incident","","","Boeing","757","SCHD","","0","0","2","UNK",""
"DCA10WA078","7/16/10","London, United Kingdom","United Kingdom","","","","","Incident","","","Boeing","757","SCHD","","0","0","","",""
"DCA15WA045","12/17/14","Warsaw, Poland","Poland","","","","","Incident","","","Boeing","757","","","0","0","","","TAKEOFF"
"ENG15WA005","12/6/14","Magadan, Russia","Russia","","","UHMM","Magadan","Incident","","","Boeing","757","","","0","0","","","CLIMB"
"DCA10WA043","2/21/10","Bacelona, Spain","Spain","","","","","Incident","","","Boeing","757","SCHD","","0","0","","","TAKEOFF"
"DCA14WA005","10/22/13","Providenciales, Turks And Caicos Islands","Turks And Caicos Islands","","","","","Incident","","N605AA","Boeing","757","SCHD","","0","0","175","",""
"DCA13WA158","9/19/13","San Andreas, Colombia","Colombia","","","","N/A","Incident","","N676AN","Boeing","757","SCHD","","0","0","","","DESCENT"
"DCA14WA084","10/20/13","Dublin, Ireland","Ireland","","","","","Incident","Minor","N41140","Boeing","757","","","0","0","131","",""
"DCA12WA125","8/8/12","Tenerife Sur, Spain","Spain","","","","N/A","Incident","","","Boeing","757","","","0","0","229","",""
"SEA04IA175","8/27/04","Richmond, BC, Canada","Canada","47.444444","-122.331111","","","Incident","Minor","N526UA","Boeing","757","SCHD","","0","0","130","VMC","TAKEOFF"
"CHI04LA084","3/1/04","Janesville, WI","United States","42.619445","-89.040277","","","Non-Fatal","","N516UA","Boeing","757","SCHD","","0","1","175","VMC","DESCENT"
"DCA02WA040","5/22/02","Gibraltar, Gibraltar","Gibraltar","","","","","Non-Fatal","Substantial","","Boeing","757","SCHD","","0","0","163","",""
"CHI02LA111","4/18/02","Springfield, MO","United States","37.486389","-93.456111","","","Non-Fatal","","N516AT","Boeing","757","SCHD","","0","3","111","VMC","CRUISE"
"SEA02LA049","3/2/02","Seattle, WA","United States","","","KSEA","Seattle/Tacoma Int.","Non-Fatal","Substantial","N589UA","Boeing","757","SCHD","","0","0","90","VMC","STANDING"
"OPS07IA002","1/10/07","Atlanta, GA","United States","","","ATL","THE WILLIAM B HARTSFIELD ATLAN","Incident","","","Boeing","757","SCHD","","0","0","173","VMC","TAKEOFF"
"SEA08LA061B","1/13/08","San Francisco, CA","United States","37.618889","-122.374723","KSFO","San Francisco International","Non-Fatal","Substantial","N508UA","Boeing","757","SCHD","","0","0","61","VMC","TAXI"
"SEA06IA105","5/17/06","Portland, OR","United States","45.588611","-122.5975","PDX","PORTLAND INTL","Incident","","N506UA","Boeing","757","SCHD","","0","0","189","VMC","TAKEOFF"
"CHI06LA099","3/15/06","Omaha, NE","United States","41.303056","-95.894166","OMA","Eppley Airfield","Non-Fatal","","N518UA","Boeing","757","SCHD","","0","1","97","VMC","CRUISE"
"CHI03LA113","4/21/03","Lithonia, GA","United States","33.743889","-84.0425","","","Non-Fatal","","N504UA","Boeing","757","SCHD","","0","1","184","IMC","CRUISE"
"CHI01LA331","9/23/01","Indianapolis, IN","United States","","","IND","Indianapolis International","Non-Fatal","","N570UA","Boeing","757","SCHD","","0","1","40","VMC","TAXI"
"CHI05LA135","6/5/05","New Chicago, IN","United States","41.56","-87.274445","","","Non-Fatal","","N602AN","Boeing","757","SCHD","","0","1","160","VMC","DESCENT"
"MIA03IA168","8/24/03","Miami, FL","United States","25.793055","-80.290555","MIA","Miami International","Incident","Minor","N609AA","Boeing","757","SCHD","","0","0","169","VMC","TAXI"
"LAX03LA167","5/20/03","Santa Ana, CA","United States","33.681667","-117.869167","SNA","John Wayne/Orange County","Non-Fatal","Substantial","N692AA","Boeing","757","SCHD","","0","0","103","VMC","TAXI"
"OPS11IA410","3/11/11","ATLANTA, GA","United States","","","KATL","Atlanta","Incident","","","Boeing","757","SCHD","","0","0","130","VMC","TAKEOFF"
"OPS07IA006A","7/11/07","Fort Lauderdale, FL","United States","26.0725","-80.1525","FLL","Fort Lauderdale International","Incident","","","Boeing","757","SCHD","","0","0","307","VMC","LANDING"
"NYC06LA074","2/25/06","Boston, MA","United States","42.364444","-71.005278","BOS","General Edward Lawrence Logan","Non-Fatal","Substantial","N697DL","Boeing","757","SCHD","","0","0","146","VMC","STANDING"
"IAD05LA044","3/6/05","Boston, MA","United States","42.364444","-71.005278","BOS","General Edward Logan","Non-Fatal","","N6710E","Boeing","757","SCHD","","0","1","188","VMC","TAXI"
"DEN03IA067","4/17/03","Salt Lake City, UT","United States","40.788333","-111.977778","SLC","Salt Lake City International","Incident","Minor","N6712B","Boeing","757","SCHD","","0","0","123","VMC","CLIMB"
"NYC02LA110","6/2/02","Fairfield, IL","United States","38.363333","-88.343333","","","Non-Fatal","","N694DL","Boeing","757","SCHD","","0","1","113","IMC","DESCENT"
"LAX01LA307","7/11/01","San Francisco, CA","United States","37.618889","-122.374723","SFO","San Francisco International","Non-Fatal","","N644DL","Boeing","757","SCHD","","0","1","98","VMC","DESCENT"
"DCA02RA047A","7/1/02","Uberlingen, Germany","Germany","","","","","Fatal(71)","Destroyed","","Boeing","757","SCHD","","71","0","","",""
"LAX07LA189","4/24/07","Burbank, CA","United States","34.200556","-118.358611","BUR","Bob Hope Airport","Non-Fatal","","N402UP","Boeing","757","NSCH","","0","1","2","VMC","TAXI"
"DEN07LA098","6/3/07","Denver, CO","United States","39.861389","-104.673056","","","Non-Fatal","","N523US","Boeing","757","SCHD","","0","1","172","VMC","APPROACH"
"ANC04IA058","5/31/04","Anchorage, AK","United States","61.174445","-149.996389","PANC","Anchorage International","Incident","","N550NW","Boeing","757","SCHD","","0","0","187","VMC","STANDING"
"NYC03FA039","1/19/03","Flushing, NY","United States","40.777223","-73.8725","LGA","LA GUARDIA","Non-Fatal","Substantial","N550NW","Boeing","757","SCHD","","0","1","1","VMC","STANDING"
"NYC02LA187","9/9/02","Baltimore, MD","United States","39.165","-76.663333","BWI","Baltimore-Washington Intl Arpt","Non-Fatal","Substantial","N534US","Boeing","757","SCHD","","0","0","103","VMC","LANDING"
"DCA08WA086","7/29/08","Budapest, Hungary","Hungary","","","","","Unavailable","","","Boeing","767","","","0","0","","",""
"ENG15RA015","2/17/15","Islamabad, Pakistan, Pakistan","Pakistan","","","ISB","Islamabad International","Incident","Minor","","Boeing","767","SCHD","","0","0","","","TAKEOFF"
"DCA14WA019","12/5/13","Madrid, Spain","Spain","","","","","Non-Fatal","Substantial","N182DN","Boeing","767","SCHD","","0","0","203","",""
"DCA15WA159","7/12/15","Singapore, Singapore","Singapore","","","","","Incident","","","Boeing","767","","","0","0","","",""
"DCA14WA172","9/12/14","Seoul, Korea, Republic Of","Korea, Republic Of","","","","","Non-Fatal","","","Boeing","767","","","0","1","223","",""
"DCA15WA024","11/4/14","Lima, Peru","Peru","","","","","Incident","","N644UA","Boeing","767","","","0","0","219","",""
"DCA11WA048A","4/14/11","Barcelona, Spain","Spain","","","","","Incident","Minor","N366AA","Boeing","767","SCHD","","0","0","","",""
"DCA14WA042","1/21/14","Buenos Aires, Argentina","Argentina","","","","","Incident","Minor","N191DN","Boeing","767","","","0","0","209","",""
"DCA06WA006","11/6/05","London, United Kingdom","United Kingdom","","","","","Incident","","N653US","Boeing","767","SCHD","","0","0","","",""
"DCA02RA032","4/15/02","Pusan, Korea, Republic Of","Korea, Republic Of","","","","","Fatal(138)","Destroyed","","Boeing","767","SCHD","","138","28","","IMC",""
"ENG03WA004","12/8/02","Brisbane, Australia","Australia","","","ABBN","Dummy","Incident","Minor","","Boeing","767","SCHD","","0","0","","",""
"IAD03IA007","10/19/02","BOSTON, MA","United States","42.375","-71.002778","BOS","LOGAN INTERNATIONAL AIRPORT","Incident","Minor","N607UA","Boeing","767","SCHD","","0","0","128","VMC","TAKEOFF"
"ENG06IA018","6/2/06","Los Angeles, CA","United States","","","KLAX","Los Angeles","Incident","Substantial","N330AA","Boeing","767","NSCH","","0","0","3","","STANDING"
"NYC02LA088","4/22/02","Atlantic Ocean","","19.663611","-66.126111","","","Non-Fatal","","N68160","Boeing","767","SCHD","","0","1","119","VMC","CRUISE"
"DCA05MA083","7/11/05","Raleigh-Durham, NC","United States","35.4","-80.666667","","","Non-Fatal","","N113DA","Boeing","767","SCHD","","0","1","186","VMC","CRUISE"
"MIA04LA134","9/29/04","Caribbean Sea","","13","-71.5","AUA","Aruba, Netherlands Antilles","Non-Fatal","","N109DL","Boeing","767","SCHD","","0","1","144","VMC","CRUISE"
"ENG02RA004","11/27/01","Melbourne, Australia","Australia","-37.416667","145.116667","","","Incident","Minor","","Boeing","767","SCHD","","0","0","","",""
"DCA07WA016","11/8/06","Bristol, United Kingdom","United Kingdom","","","","","Incident","Minor","N330LF","Boeing","767","NSCH","","0","0","","",""
"DCA14WA104","3/19/14","FRANKFURT, Germany","Germany","","","","","Incident","","","Boeing","767","","","0","0","262","",""
"OPS08IA008B","7/5/08","New York, NY","United States","","","KJFK","John F. Kennedy Intl","Incident","","","Boeing","767","SCHD","","0","0","285","VMC","TAKEOFF"
"ENG08RA005","11/22/07","Nice, France","France","","","LFMN","Cote D'Azur, Nice, France","Incident","Minor","N1611B","Boeing","767","SCHD","","0","0","","",""
"DCA07WA029","3/3/07","London, United Kingdom","United Kingdom","","","","","Incident","Minor","","Boeing","767","SCHD","","0","0","","",""
"DCA06WA074","9/17/06","","Iceland","","","","","Incident","Minor","","Boeing","767","SCHD","","0","0","","",""
"NYC06LA151","6/17/06","Dulles, VA","United States","38.945","-77.456667","IAD","Washington-Dulles","Non-Fatal","Substantial","N653UA","Boeing","767","SCHD","","0","0","183","VMC","STANDING"
"MIA03WA011","10/21/02","Buenos Aires, Argentina","Argentina","-34.822223","-58.535833","","","Incident","Minor","","Boeing","767","SCHD","","0","0","162","VMC",""
"NYC02WA135","7/2/02","Asuncion, Paraguay","Paraguay","","","","","Incident","","N376AN","Boeing","767","SCHD","","0","0","144","",""
"MIA01WA100","3/16/01","PUERTO PLATA, Dominican Republic","Dominican Republic","","","","","Non-Fatal","Substantial","","Boeing","767","NSCH","","0","0","2","VMC",""
"ANC04IA025","2/19/04","Miami, FL","United States","25.783333","-80.283333","MIA","MIAMI INTL","Incident","","PH-MCL","Boeing","767","SCHD","","0","0","290","VMC","LANDING"
"ENG06RA004","12/1/05","Kagoshima, Japan","Japan","","","RJFK","Kagoshima Airport","Incident","Minor","","Boeing","767","SCHD","","0","0","","",""
"DCA04WA067","8/7/04","Viru-Viru Int, Bolivia","Bolivia","","","","","Unavailable","Substantial","","Boeing","767","SCHD","","0","0","","",""
"DCA01WA038","4/23/01","Zurich, Switzerland","Switzerland","","","","","Incident","","","Boeing","767","SCHD","","0","0","","",""
"DCA01WA032","3/27/01","Paris, France","France","","","","","Incident","","N379AA","Boeing","767","SCHD","","0","0","137","",""
"NYC01LA076","12/27/00","Boston, MA","United States","","","BOS","GENERAL EDWARD LAWRENCE LOGAN","Non-Fatal","","N155DL","Boeing","767","SCHD","","0","1","79","VMC","TAXI"
"ENG07WA010","12/30/06","Auckland, New Zealand","New Zealand","","","","","Incident","Minor","","Boeing","767","SCHD","","0","0","","",""
"DCA12WA102","7/3/12","Sao Paulo, Brazil","Brazil","","","","","Incident","","N342AN","Boeing","767","SCHD","","0","0","","",""
"DCA10WA052","4/13/10","Keflavik, Iceland","Iceland","","","BIKF","Keflavik","Incident","","N380AN","Boeing","767","SCHD","","0","0","140","",""
"DEN07WA143","8/20/07","Frankfurt, Germany","Germany","50.106111","8.676111","","","Incident","Minor","N369AA","Boeing","767","SCHD","","0","0","170","VMC",""
"DCA02WA012","12/4/01","London, United Kingdom","United Kingdom","","","","","Incident","Minor","N7375A","Boeing","767","SCHD","","0","0","77","",""
"DCA12WA146","9/13/12","Sao Paulo, Brazil","Brazil","","","","","Non-Fatal","Minor","N173DZ","Boeing","767","SCHD","","0","0","220","",""
"MIA02WA176","8/24/02","Buenos Aires, Argentina","Argentina","-34.822223","-58.535833","","","Incident","","N178DN","Boeing","767","SCHD","","0","0","208","VMC",""
"ATL02LA075","4/5/02","Atlanta, GA","United States","33.645","-84.433056","ATL","THE WILLIAM B HARTSFIELD ATLAN","Non-Fatal","Substantial","N1608","Boeing","767","SCHD","","0","0","199","VMC","CLIMB"
"FTW98FA380","9/11/98","Houston, TX","United States","29.607222","-95.158611","EFD","Ellington Field","Non-Fatal","Substantial","N316UP","Boeing","767","NSCH","","0","0","2","IMC","APPROACH"
"DCA14WA030","1/5/14","Madinah, Saudi Arabia","Saudi Arabia","","","","","Non-Fatal","Minor","","Boeing","767","","","0","3","","",""
"DCA04RA060","7/28/04","Rome, Italy","Italy","","","","","Non-Fatal","Minor","","Boeing","767","SCHD","","0","0","160","",""
"DCA12WA010","10/28/11","Nani, Kenya","Kenya","-0.846111","39.9275","","","Unavailable","","","Boeing","777","SCHD","","0","0","","","CRUISE"
"DCA14RA127","7/17/14","Hrabove, Ukraine","Ukraine","","","","N/A","Fatal(295)","Destroyed","","Boeing","777","SCHD","","295","0","","",""
"DCA14RA076","3/8/14","Kuala Lampur, Malaysia","Malaysia","","","WMKK","Kuala Lumper International","Fatal(239)","Destroyed","","Boeing","777","SCHD","","239","0","","",""
"DCA12WA066","3/31/12","Tokyo, Japan","Japan","","","","Tokyo International Airport","Unavailable","Substantial","","Boeing","777","","","0","0","","","GO-AROUND"
"DCA14WA025","12/19/13","Changi, Singapore","Singapore","","","","","Non-Fatal","","","Boeing","777","","","0","0","217","",""
"OPS14IA011","8/15/14","Shemya, AK","United States","52.743611","174.124167","","N/A","Incident","","","Boeing","777","SCHD","","0","0","","UNK",""
"ENG13WA039","7/21/13","Moscow, Russia","Russia","","","SVO","Moscow Sheremetyevo Intern","Incident","","","Boeing","777","SCHD","","0","0","","",""
"DCA15WA041","12/16/14","Ishikawa, Japan","Japan","","","","","Non-Fatal","","N751AN","Boeing","777","","","0","2","243","","CRUISE"
"DCA15WA002","10/3/14","Buenos Aires, Argentina","Argentina","","","","","Non-Fatal","","N772AN","Boeing","777","SCHD","","0","1","248","",""
"DCA14WA004","10/3/13","Changi, Singapore","Singapore","","","WSAC","Changi Air Base","Incident","","","Boeing","777","","","0","0","","",""
"DCA06WA075","9/22/06","Brindisi, Italy","Italy","","","","","Incident","Minor","N861DA","Boeing","777","SCHD","","0","0","","",""
"DCA05RA086","8/1/05","Perth, Australia","Australia","","","","","Incident","","","Boeing","777","SCHD","","0","0","","",""
"ENG07RA014","2/26/07","London, United Kingdom","United Kingdom","","","","","Non-Fatal","Substantial","N786UA","Boeing","777","SCHD","","0","0","205","",""
"DCA07WA041","5/12/07","Tel Aviv, Israel","Israel","","","","","Incident","Minor","N863DA","Boeing","777","SCHD","","0","0","","",""
"ENG13WA010","12/31/12","Seoul, South Korea, Korea, Republic Of","Korea, Republic Of","","","ICN","Incheon International Airport","Incident","","N206UA","Boeing","777","SCHD","","0","0","","",""
"DCA12WA109","7/5/12","Tokyo, Japan","Japan","","","","","Non-Fatal","","N224UA","Boeing","777","SCHD","","0","1","252","","CRUISE"
"OPS10IA020A","3/27/10","San Francisco, CA","United States","","","","","Incident","","","Boeing","777","SCHD","","0","0","268","","TAKEOFF"
"CHI08FA050","12/14/07","Chicago, IL","United States","41.978611","-87.904722","ORD","Chicago O'Hare Intl","Non-Fatal","Minor","N220UA","Boeing","777","SCHD","","0","1","263","VMC","APPROACH"
"CHI07FA184A","6/27/07","Chicago, IL","United States","41.968611","-87.907778","ORD","CHICAGO O'HARE INTL","Non-Fatal","Minor","N213UA","Boeing","777","SCHD","","0","0","501","VMC","TAXI"
"MIA03LA067","2/25/03","Miami, FL","United States","25.949722","-81.2525","MIA","Miami International","Non-Fatal","","N790AN","Boeing","777","SCHD","","0","2","131","VMC","DESCENT"
"DFW06LA115","4/25/06","DFW Int'l Apt, TX","United States","32.891389","-97.036111","DFW","Dallas/Fort Worth Int'l","Non-Fatal","","N789AN","Boeing","777","SCHD","","0","1","253","VMC","DESCENT"
"DEN01FA157","9/5/01","Denver, CO","United States","39.859722","-104.671667","DEN","Denver International Airport","Fatal(1)","Substantial","G-VIIK","Boeing","777","SCHD","","1","0","26","VMC","STANDING"
"DCA08RA028","1/17/08","London, United Kingdom","United Kingdom","","","","","Non-Fatal","Substantial","","Boeing","777","SCHD","","0","0","191","",""
"LAX04LA007B","10/7/03","San Francisco, CA","United States","37.618889","-122.374723","KSFO","San Francisco International","Non-Fatal","Substantial","JA709A","Boeing","777","SCHD","","0","0","450","VMC","TAXI"
"DFW08WA090","2/25/08","Mexico City, Mexico","Mexico","19.433333","-99.066667","","","Incident","Minor","N774AM","Boeing","777","SCHD","","0","0","403","VMC",""
"DCA04WA025","9/28/03","Chennai, India","India","","","","","Incident","","","Boeing","777","SCHD","","0","0","","",""
"ENG08WA049","3/29/08","Azores, Portugal","Portugal","","","SMA","Santa Maria","Incident","","","Boeing","777","SCHD","","0","0","","",""
"DCA16WA040","12/30/15","Calgary, Canada","Canada","","","","","Incident","","","Boeing","777","","","0","0","","",""
"DCA13WA159","9/18/13","Warsaw, Poland","Poland","","","EPWA","Warsaw","Incident","","","Boeing","787","SCHD","","0","0","","",""
"ENG15RA006","1/22/15","Budapest, Hungary","Hungary","","","","","Incident","","","Boeing","787","SCHD","","0","0","","",""
"DCA07WA011","11/18/06","Leticia, Colombia","Colombia","","","","","Unavailable","Destroyed","","Boeing","727","NSCH","","0","0","","",""
"ATL01IA083","7/13/01","MEMPHIS, TN","United States","35.035555","-89.968611","MEM","Memphis International Arpt","Incident","Minor","N189FE","Boeing","727","SCHD","","0","0","3","VMC","TAKEOFF"
"DCA00WA063","7/12/99","Cuzco, Peru","Peru","","","","","Incident","","","Boeing","737","SCHD","","0","0","","",""
"DCA98WA033","4/12/98","ALMATY, Kazakhstan","Kazakhstan","","","","","Unavailable","","","Boeing","737","SCHD","","0","0","","",""
"DCA97WA025","2/8/97","NURNBERG/GERF, Germany","Germany","","","","","Unavailable","","","Boeing","737","SCHD","","0","0","","",""
"DCA01WA035","3/25/01","Riyahd, Saudi Arabia","Saudi Arabia","","","","","Incident","","","Boeing","737","SCHD","","0","0","2","",""
"NYC01LA075A","2/3/01","Boston, MA","United States","","","BOS","Logan International Airport","Non-Fatal","Substantial","N3735D","Boeing","737","SCHD","","0","0","135","VMC","TAXI"
"DCA05WA028","1/24/05","Dusseldorf, Germany","Germany","","","","","Incident","Minor","N808MC","Boeing","747","NSCH","","0","0","3","IMC",""
"MIA95WA143","6/3/95","PANAMA  CITY, Panama","Panama","","","","","Non-Fatal","Substantial","N706CK","Boeing","747","NSCH","","0","0","4","VMC",""
"DCA01WA045","6/5/01","Tokyo, Japan","Japan","","","","","Incident","Minor","N663US","Boeing","747","SCHD","","0","0","2","",""
"DCA01WA046","5/21/01","Guam","","","","","","Non-Fatal","","","Boeing","747","SCHD","","0","1","","",""
"DCA00WA094","6/18/00","Addis Ababa, Ethiopia","Ethiopia","","","","","Incident","","","Boeing","767","SCHD","","0","0","","",""
"DCA00WA028","2/22/00","Harare, Zimbabwe","Zimbabwe","","","","","Non-Fatal","","","Boeing","767","SCHD","","0","0","1","VMC",""
"DCA05WA032","1/19/05","Nice, France","France","","","","","Incident","Minor","N174DN","Boeing","767","SCHD","","0","0","","",""
"DCA06WA008A","11/6/05","Heathrow IAP, United Kingdom","United Kingdom","","","","","Non-Fatal","Substantial","N781AN","Boeing","777","SCHD","","0","0","243","",""
"DCA01WA053","6/6/01","Danang, Vietnam","Vietnam","","","","","Incident","","","Boeing","777","SCHD","","0","0","","",""
"DCA05WA067","5/20/05","London, United Kingdom","United Kingdom","","","","","Non-Fatal","Substantial","N864DA","Boeing","777","SCHD","","0","0","309","",""
"DCA01WA019","1/30/01","","Australia","","","","","Incident","","","Boeing","777","SCHD","","0","0","","",""
"DCA09WA042","3/26/09","Eldorado, Colombia","Colombia","","","","Eldorado","Incident","Minor","","Boeing","727","SCHD","","0","0","","",""
"DCA06RA040","5/4/06","Banglore, India","India","","","","","Incident","Substantial","","Boeing","727","SCHD","","0","0","0","",""
"DCA08WA071","5/16/08","Kolonia, Federated States Of Micronesia","Federated States Of Micronesia","6.985","-158.208333","","","Non-Fatal","Substantial","N319NE","Boeing","727","NSCH","","0","0","5","VMC",""
"DCA13WA072","4/5/13","Guatemala City, Guatemala","Guatemala","","","","","Incident","Minor","N279AD","Boeing","737","SCHD","","0","0","5","",""
"DCA11WA062","5/20/11","Dublin, Ireland","Ireland","","","","Dublin","Incident","","","Boeing","737","SCHD","","0","0","66","",""
"DCA11WA042","4/7/11","Hamburg, Germany","Germany","","","EDDH","Hamburg","Incident","Minor","","Boeing","737","SCHD","","0","0","86","",""
"DCA11WA041","4/4/11","Bucharest, Romania","Romania","","","LROP","Henri Coanda, Bucharest","Incident","Substantial","","Boeing","737","SCHD","","0","0","83","",""
"DCA11WA017","12/8/10","Brasilia, Brazil","Brazil","","","SBBR","Brasilia","Incident","","","Boeing","737","SCHD","","0","0","125","",""
"DCA08WA014","5/5/06","Jakarta, Indonesia","Indonesia","","","","","Non-Fatal","Minor","","Boeing","737","SCHD","","0","0","4","VMC",""
"DCA05RA096","9/5/05","Medan, Indonesia","Indonesia","","","","","Fatal(145)","Destroyed","","Boeing","737","SCHD","","145","0","16","VMC",""
"DCA08WA069","2/10/08","Kansai, Japan","Japan","","","","","Non-Fatal","","","Boeing","737","SCHD","","0","1","72","",""
"DCA06WA070","9/3/06","Doha, Qatar","Qatar","","","","","Incident","Minor","","Boeing","737","SCHD","","0","0","2","VMC",""
"DCA06WA052","6/15/06","East Midlands, United Kingdom","United Kingdom","","","","","Non-Fatal","Substantial","","Boeing","737","SCHD","","0","0","2","IMC",""
"DCA05RA092","8/14/05","Grammatikos, Greece","Greece","","","","","Fatal(121)","Destroyed","","Boeing","737","SCHD","","121","0","","",""
"DCA05WA008B","11/7/04","Manchester, United Kingdom","United Kingdom","","","","","Incident","Minor","","Boeing","737","SCHD","","0","0","","",""
"DCA05WA006","11/4/04","Kota Kinabalu, Malaysia","Malaysia","","","","","Non-Fatal","Minor","","Boeing","737","SCHD","","0","0","2","IMC",""
"DCA08WA016","11/21/07","Jakarta, Indonesia","Indonesia","","","","","Incident","Minor","","Boeing","737","SCHD","","0","0","2","VMC",""
"DCA07RA030","3/7/07","Yogyakarta, Indonesia","Indonesia","","","","","Fatal(23)","Destroyed","","Boeing","737","SCHD","","23","50","60","",""
"DCA07WA017","12/24/06","Makassar, Indonesia","Indonesia","","","","","Non-Fatal","Substantial","","Boeing","737","SCHD","","0","0","164","VMC",""
"DCA06WA051","6/15/06","Catania, Italy","Italy","","","","","Incident","Minor","","Boeing","737","SCHD","","0","0","102","",""
"DCA06WA065","6/8/06","Frankfurt, Germany","Germany","","","","","Incident","","","Boeing","737","SCHD","","0","0","2","VMC",""
"DCA01WA055","7/22/01","Monastir, Tunisia","Tunisia","","","","","Non-Fatal","Substantial","","Boeing","737","SCHD","","0","0","77","VMC",""
"DCA14WA082B","3/5/14","Buenos Aires, Argentina","Argentina","","","","","Non-Fatal","","","Boeing","737","","","0","0","359","","TAXI"
